Date,Sent Amount,Sent Currency,Received Amount,Received Currency,Fee Amount,Fee Currency,Net Worth Amount,Net Worth Currency,Label,Description,TxHash
2022-01-25 21:48:22 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 44341 levelup,0xcdf2db8aa4995955ec79ad3adbfbefad536c1c944f7e32bd9439a899db57c4b4,
2022-01-25 21:50:00 UTC,2,Shvas Rune,,,0.003718132600184857866428528306,USD,0.1757754075150446959607819508,usd,cost,NFT 38662 meditate,0xb3fee266a5e74d0a843414a531f7abc8085e39167a5f89803ec35d858aadbe4a,
2022-01-25 21:50:00 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 38662 levelup,0xb3fee266a5e74d0a843414a531f7abc8085e39167a5f89803ec35d858aadbe4a,
2022-01-25 21:52:14 UTC,2,Shvas Rune,,,0.003718132600184857866428528306,USD,0.1757754075150446959607819508,usd,cost,NFT 53449 meditate,0xdaa9d242935a24361dea3a3a0f5004c79161371fd5939b42bfbccc370b669c91,
2022-01-25 21:52:14 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 53449 levelup,0xdaa9d242935a24361dea3a3a0f5004c79161371fd5939b42bfbccc370b669c91,
2022-01-25 21:54:59 UTC,2,Shvas Rune,,,0.003718132600184857866428528306,USD,0.1757754075150446959607819508,usd,cost,NFT 47601 meditate,0x65ead2c750cf95824a98027302775fc40c3465504d908d2aa04e5f1ab654f009,
2022-01-25 21:54:59 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 47601 levelup,0x65ead2c750cf95824a98027302775fc40c3465504d908d2aa04e5f1ab654f009,
2022-01-25 22:01:22 UTC,2,Shvas Rune,,,0.003718132600184857866428528306,USD,0.1757754075150446959607819508,usd,cost,NFT 51338 meditate,0x87fce10dcf3ba4ae768440986ee175a75c2c37d51ad697870da28837c5c0399d,
2022-01-25 22:01:22 UTC,0.300,Jewel,,,0,USD,2.464992982879535077245236607,usd,cost,NFT 51338 levelup,0x87fce10dcf3ba4ae768440986ee175a75c2c37d51ad697870da28837c5c0399d,
2022-02-12 18:07:35 UTC,3,Shvas Rune,,,0.004187662413675504612233096990,USD,0.2636631112725670439411729262,usd,cost,NFT 24170 meditate,0x4b6489eb234438c6259721b29f739599b0c72aa0e94cb4e1397dedd9db417120,
2022-02-12 18:07:35 UTC,0.400,Jewel,,,0,USD,3.166884960819608707538463932,usd,cost,NFT 24170 levelup,0x4b6489eb234438c6259721b29f739599b0c72aa0e94cb4e1397dedd9db417120,
2022-02-13 08:22:50 UTC,3,Shvas Rune,,,0.003583926349081281377426388968,USD,0.2636631112725670439411729262,usd,cost,NFT 30532 meditate,0x16377604bd18c722f43e1600174e11310cec9f77d917b7ecea4c12286196b51c,
2022-02-13 08:22:50 UTC,0.400,Jewel,,,0,USD,3.122272276014415126610401785,usd,cost,NFT 30532 levelup,0x16377604bd18c722f43e1600174e11310cec9f77d917b7ecea4c12286196b51c,
